City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
376,ugrinovci,44.8783,20.1869,82.49,49,0,8.05,RS,1687801271
377,sioux lookout,50.1001,-91.917,73.47,56,75,10.36,CA,1687801272
378,port said,31.2565,32.2841,82.38,74,0,12.66,EG,1687801272
379,flinders,-34.5833,150.8552,57.18,63,64,8.01,AU,1687801272
380,kaniama,-7.5667,24.1833,74.12,41,6,1.81,CD,1687801272
381,grand-lahou,5.1367,-5.0242,76.26,80,98,8.14,CI,1687801273
382,jining,35.405,116.5814,78.69,62,30,11.83,CN,1687801273
383,qandala,11.472,49.8728,92.3,54,92,5.5,SO,1687801273
384,konongo,6.6167,-1.2167,74.95,84,90,3.29,GH,1687801273
385,sebezh,56.2955,28.4654,58.32,95,100,3.13,RU,1687801273
386,coffs harbour,-30.3,153.1333,47.14,93,39,2.3,AU,1687801118
387,taldan,53.6667,124.8,56.84,79,92,2.73,RU,1687801274
388,voh,-20.9667,164.7,58.12,72,28,2.44,NC,1687801274
389,horsham,51.064,-0.3272,71.83,46,0,16.11,GB,1687801274
390,longyearbyen,78.2186,15.6401,42.64,87,75,10.36,SJ,1687801274
391,rantepao,-2.9701,119.8978,68.07,98,99,1.79,ID,1687801275
392,pimentel,-6.8367,-79.9342,80.89,61,75,9.22,PE,1687801275
393,qui nhon,13.7667,109.2333,76.77,90,100,2.13,VN,1687801275
394,alamosa,37.4695,-105.87,80.58,18,0,9.22,US,1687801275
395,villamontes,-21.25,-63.5,87.24,51,0,0.0,BO,1687801276
396,la macarena,2.1837,-73.7849,84.45,71,90,3.24,CO,1687801276
397,port lincoln,-34.7333,135.8667,53.4,81,100,8.37,AU,1687801277
398,piste,20.7,-88.5833,89.65,62,40,5.75,MX,1687801277
399,fougamou,-1.2154,10.5838,77.94,69,79,3.8,GA,1687801278
400,yumen,40.2833,97.2,72.0,21,68,28.41,CN,1687801278
401,hualmay,-11.0964,-77.6139,68.49,79,62,13.11,PE,1687801278
402,yar-sale,66.8333,70.8333,53.06,64,100,4.45,RU,1687801279
403,rio gallegos,-51.6226,-69.2181,41.05,81,100,16.11,AR,1687801068
404,pevek,69.7008,170.3133,36.23,75,72,2.59,RU,1687801279
405,lavrentiya,65.5833,-171.0,40.93,88,100,6.11,RU,1687801279
406,yenagoa,4.9247,6.2642,75.07,94,100,4.36,NG,1687801279
407,tahta,26.7693,31.5021,88.27,11,0,11.07,EG,1687801280
408,tukrah,32.5341,20.5791,74.77,89,0,13.38,LY,1687801280
409,barsovo,61.1667,73.1667,51.93,62,98,6.2,RU,1687801280
410,korla,41.7597,86.1469,69.94,33,6,13.65,CN,1687801281
411,sambava,-14.2667,50.1667,64.09,87,8,2.24,MG,1687801281
412,mareeba,-17.0,145.4333,65.12,92,88,6.42,AU,1687801281
413,parfenyevo,58.484,43.4088,59.77,72,49,1.74,RU,1687801281
414,sisimiut,66.9395,-53.6735,45.88,61,35,8.34,GL,1687801282
415,asau,46.4333,26.4,74.32,89,35,3.85,RO,1687801282
416,chingirlau,51.095,54.0814,55.87,68,33,10.89,KZ,1687801282
417,ketchikan,55.3422,-131.6461,59.47,88,100,5.75,US,1687801282
418,lethem,3.3803,-59.7968,90.48,52,26,6.15,GY,1687801283
